longitude,latitude,M13_log
58.201263,-34.15695,-0.6348842210042397
58.20981,-34.15839,-0.6318369994044779
58.218346,-34.159817,-0.6379407565523733
58.226883,-34.16125,-0.6502611884010344
58.36314,-34.184,-0.6502611884010344
58.37166,-34.185402,-0.6471668206428753
58.388645,-34.18823,-0.6471668206428753
58.47348,-34.202282,-0.6502611884010344
58.515835,-34.20928,-0.6502611884010344
58.558178,-34.216232,-0.6533651609996125
58.57508,-34.21902,-0.6502611884010344
58.583538,-34.220417,-0.6410066631603596
58.591984,-34.221806,-0.6410066631603596
58.60044,-34.22318,-0.6410066631603596
58.6089,-34.22457,-0.6410066631603596
58.617348,-34.22596,-0.6533651609996125
58.66799,-34.234253,-0.6533651609996125
58.79446,-34.25485,-0.6533651609996125
58.811302,-34.257587,-0.6533651609996125
58.937424,-34.27804,-0.6533651609996125
58.954247,-34.28075,-0.6502611884010344
58.96264,-34.2821,-0.6533651609996125
59.013054,-34.29019,-0.6533651609996125
59.1222,-34.307636,-0.6533651609996125
59.16417,-34.314312,-0.6533651609996125
55.16255,-33.612774,-0.6533651609996125
55.330128,-33.645348,-0.6471668206428753
55.3405,-33.647358,-0.6502611884010344
56.27432,-33.82413,-0.6533651609996125
56.29338,-33.82766,-0.6533651609996125
56.30291,-33.82943,-0.6533651609996125
56.31244,-33.831173,-0.6533651609996125
56.32194,-33.832935,-0.6533651609996125
56.35043,-33.838192,-0.6502611884010344
56.359917,-33.83993,-0.6502611884010344
56.369392,-33.841686,-0.6502611884010344
56.37887,-33.843426,-0.6502611884010344
56.388317,-33.84517,-0.6502611884010344
56.39777,-33.84691,-0.6533651609996125
56.407215,-33.848644,-0.6502611884010344
56.41666,-33.850376,-0.6533651609996125
56.426086,-33.85211,-0.6502611884010344
56.43552,-33.85385,-0.6502611884010344
56.454353,-33.857307,-0.6533651609996125
56.491936,-33.86419,-0.6502611884010344
56.5013,-33.865913,-0.6471668206428753
56.510674,-33.867626,-0.6471668206428753
56.520042,-33.86933,-0.6471668206428753
56.529408,-33.871048,-0.6502611884010344
56.538754,-33.872765,-0.6533651609996125
56.5481,-33.874462,-0.6471668206428753
56.55744,-33.87616,-0.6502611884010344
56.566772,-33.87786,-0.6502611884010344
56.57611,-33.879566,-0.6533651609996125
56.585426,-33.88127,-0.6533651609996125
56.59473,-33.882965,-0.6471668206428753
56.604042,-33.88466,-0.6502611884010344
56.613346,-33.886353,-0.6502611884010344
56.62264,-33.888046,-0.6502611884010344
56.631924,-33.889732,-0.6502611884010344
56.6412,-33.891415,-0.6533651609996125
56.650475,-33.893105,-0.6502611884010344
56.798065,-33.919823,-0.6502611884010344
56.80725,-33.921467,-0.6410066631603596
56.816402,-33.92313,-0.6410066631603596
56.825573,-33.924778,-0.6379407565523733
56.83473,-33.92643,-0.6379407565523733
56.84389,-33.92807,-0.6379407565523733
56.85303,-33.929726,-0.6348842210042397
56.86216,-33.93136,-0.6379407565523733
56.87131,-33.933,-0.6348842210042397
56.880432,-33.93464,-0.6348842210042397
56.889557,-33.936275,-0.6379407565523733
56.89867,-33.93792,-0.6379407565523733
56.907787,-33.93955,-0.6379407565523733
56.916893,-33.941185,-0.6379407565523733
56.925995,-33.942814,-0.6379407565523733
56.935078,-33.944447,-0.6348842210042397
56.94418,-33.946075,-0.6348842210042397
56.953255,-33.9477,-0.6348842210042397
56.962345,-33.94933,-0.6318369994044779
56.971413,-33.950943,-0.6348842210042397
56.980488,-33.95256,-0.6318369994044779
56.989548,-33.95418,-0.6318369994044779
56.998608,-33.955803,-0.6348842210042397
57.00766,-33.957413,-0.6348842210042397
57.016697,-33.95903,-0.6348842210042397
57.02575,-33.96064,-0.6348842210042397
57.034786,-33.962254,-0.6348842210042397
57.043816,-33.96386,-0.6379407565523733
57.052845,-33.965466,-0.6410066631603596
57.06187,-33.96708,-0.6379407565523733
57.07088,-33.968685,-0.6410066631603596
57.079903,-33.97028,-0.6379407565523733
57.0889,-33.97189,-0.6379407565523733
57.097916,-33.973488,-0.6379407565523733
57.106922,-33.975082,-0.6502611884010344
57.11591,-33.97668,-0.6471668206428753
57.1249,-33.978275,-0.6379407565523733
57.13389,-33.979866,-0.6379407565523733
57.142857,-33.98146,-0.6379407565523733
57.15184,-33.983044,-0.6410066631603596
57.160793,-33.984642,-0.6410066631603596
57.169765,-33.986214,-0.6471668206428753
57.401196,-34.026936,-0.6440819984665913
57.41004,-34.028477,-0.6410066631603596
57.418865,-34.03003,-0.6379407565523733
57.427704,-34.031563,-0.6410066631603596
57.45417,-34.03619,-0.6348842210042397
57.46299,-34.037716,-0.6348842210042397
57.471806,-34.039257,-0.6410066631603596
57.480606,-34.0408,-0.6379407565523733
57.48941,-34.04233,-0.6440819984665913
57.49821,-34.043854,-0.6410066631603596
57.542145,-34.051502,-0.6410066631603596
57.550922,-34.053017,-0.6471668206428753
57.559692,-34.054543,-0.6440819984665913
57.568462,-34.05606,-0.6348842210042397
57.638485,-34.068176,-0.6471668206428753
57.647213,-34.06969,-0.6287990351621162
